bookID,title,authors,average_rating,language_code,num_pages,ratings_count,publication_date,publisher
35057,Africa South of the Sahara: A Geographical Interpretation (Texts In Regional Geography),Robert Stock,3.12,en-US,479,8,2004-05-04,The Guilford Press
15611,Billy Budd  Sailor,Herman Melville/Harrison Hayford/Merton M. Sealts Jr.,3.12,eng,230,228,2001-09-01,University of Chicago Press
16996,Underworld Unleashed,Mark Waid/Scott Peterson/Howard Porter/Dennis Janke/Phil Jimenez/J.H. Williams III/John Stokes/Mick Gray/Dan           Green,3.12,eng,176,111,1998-04-01,DC Comics
41740,Billy Budd  Sailor,Herman Melville,3.12,eng,127,29,1999-03-01,Turtleback Books
39440,Mighty Love,Howard Chaykin,3.12,eng,96,51,2005-02-01,DC Comics
15409,The Twenty-Seventh City,Jonathan Franzen,3.12,en-GB,528,125,2003-05-01,HarperCollins Publishers
12829,The Twenty-Seventh City,Jonathan Franzen,3.12,eng,528,3621,2001-09-08,Picador USA
15613,Billy Budd  Sailor,Herman Melville,3.12,eng,160,12599,2006-08-01,Simon  Schuster
6976,The Mermaid Chair,Sue Monk Kidd,3.13,eng,368,68363,2006-03-07,Penguin Books
23201,Pilgrims and Other Stories,Elizabeth Gilbert,3.13,eng,288,1411,1998-04-09,Picador
23203,Pilgrims Pa,Elizabeth Gilbert,3.13,eng,224,10,1998-09-17,Mariner Books
15348,Bored of the Rings: A Parody of J.R.R. Tolkien's Lord of the Rings,The Harvard Lampoon/Henry N. Beard/Douglas C. Kenney,3.13,eng,149,4438,1993-07-01,Roc Trade
14378,Sweet Dreams  Mimi (Baby Einstein),Julie Aigner-Clark/Nadeem Zaidi,3.13,eng,16,37,2004-04-01,Disney Press
5851,Magic Seeds,V.S. Naipaul,3.13,eng,280,715,2005-11-08,Vintage
5843,The Career Programmer: Guerilla Tactics for an Imperfect World (Expert's Voice),Christopher   Duncan,3.13,en-US,264,37,2006-02-01,Apress
33574,Hawkes Harbor,S.E. Hinton,3.13,en-US,289,2157,2005-10-01,Tor Books
45444,Going Potty,Eoin Colfer,3.14,eng,64,7,1999-10-01,O'Brien Press
29058,Cervantes in Algiers: A Captive's Tale,Maria Antonia Garcés,3.14,eng,368,7,2005-06-01,Vanderbilt University Press
35439,Complete Star Wars Trilogy Scrapbook Re-issue,David Levithan/Ryder Windham/Marc Cotta Vaz,3.14,eng,64,7,2004-10-01,Scholastic Paperbacks
12466,The Castle in the Forest,Norman Mailer,3.14,en-US,477,2307,2007-01-23,Random House (NY)
44439,A Is for Abductive : The Language of the Emerging Church,Leonard Sweet/Brian D. McLaren,3.14,en-US,338,49,2002-12-24,Zondervan
13485,Think Like a Guy: How to Get a Guy by Thinking Like One,Giuliana DePandi,3.15,en-US,172,115,2006-06-27,St. Martin's Griffin
1164,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,3.15,eng,368,26,2005-05-15,B Books
